aaron,almighty,altar,babylon,burnt,came,christ,city,come,commanded,daughter,daughters,david,day,declares,descendant,doe,father,given,goat,god,grain,ha,hand,hear,heart,israel,jeremiah,jerusalem,jesus,judah,king,kingdom,know,lamb,land,let,life,like,lord,love,male,man,men,month,moses,mother,mouth,offering,old,people,pharaoh,praise,priest,prophet,reign,sacrifice,said,saw,say,says,seen,sent,servant,sin,solomon,son,sovereign,speak,spirit,taken,tell,thing,tribe,wa,went,wife,word,year,timeOfBook
0,6,12,1,7,86,0,37,79,12,76,23,0,74,1,26,4,211,20,13,227,26,89,46,2,8,36,0,0,0,26,49,2,31,7,137,66,34,32,196,6,23,96,62,7,0,18,12,11,37,45,72,3,5,1,1,3,401,64,38,3,9,39,61,8,0,268,2,10,4,17,24,19,2,320,89,108,13,72,book1
110,1,63,0,17,31,0,3,54,48,14,5,0,93,1,5,13,11,11,9,132,5,53,77,6,27,51,0,0,0,4,14,1,34,9,59,63,7,46,404,6,9,34,28,16,295,5,3,53,5,167,91,2,13,1,1,23,190,25,30,13,13,15,12,16,0,79,2,16,2,2,22,6,7,107,45,11,12,19,book2
64,0,88,0,59,7,0,4,31,24,18,3,0,84,0,6,29,14,9,24,53,39,127,29,0,3,5,0,0,0,0,0,0,2,18,58,3,11,7,297,2,21,68,0,11,80,12,0,295,7,41,0,1,165,0,0,28,49,1,26,0,2,1,0,95,0,51,0,12,0,6,3,13,0,21,2,11,0,47,book3
93,2,27,0,50,39,0,20,65,29,14,3,0,76,1,45,9,15,15,45,34,60,69,14,2,1,56,0,0,0,13,17,3,6,52,85,18,1,23,345,2,95,50,65,27,229,1,8,281,71,103,0,0,64,2,0,6,156,19,33,6,3,19,10,52,0,177,0,20,12,14,15,9,83,150,38,8,6,78,book4
4,0,8,0,7,18,0,25,33,32,14,6,0,67,0,16,16,24,26,3,357,10,110,48,25,30,48,0,0,0,4,25,7,20,5,175,34,21,38,515,29,3,74,23,4,36,11,6,13,4,92,7,4,7,11,2,14,61,15,35,2,6,5,7,10,0,41,2,4,2,8,8,28,14,46,13,19,33,20,book5
6,0,13,0,6,37,0,71,26,29,3,2,0,49,0,16,2,12,26,0,74,3,39,16,3,8,93,0,8,0,22,98,1,12,0,83,12,6,4,210,2,1,13,52,2,56,3,7,7,9,66,0,1,31,0,0,2,66,6,9,3,1,21,22,3,0,49,1,0,0,15,11,6,60,57,53,0,9,5,book6
1,0,10,0,6,53,0,38,45,1,14,1,0,50,0,3,0,29,18,5,73,4,29,44,3,3,98,0,4,0,23,40,0,6,0,42,19,4,11,170,4,1,49,112,1,5,13,0,10,6,55,0,2,14,1,0,3,128,19,10,2,8,25,11,0,0,59,2,1,8,7,11,10,15,98,84,27,7,8,book7
0,2,0,0,0,6,0,0,6,0,8,3,2,4,0,0,0,12,2,0,3,4,13,1,0,0,5,0,0,0,4,0,0,4,0,4,5,3,2,18,1,0,7,5,0,0,1,0,0,2,8,0,1,0,0,0,0,30,1,1,0,0,0,5,0,0,4,0,0,0,0,2,0,0,14,12,3,0,0,book8
2,5,4,0,9,52,0,6,69,0,11,3,249,79,2,4,8,30,11,2,94,3,103,72,7,19,118,0,1,0,14,80,8,21,1,16,43,23,23,300,2,2,69,129,2,2,4,6,21,15,61,2,2,28,7,4,22,229,28,23,4,3,38,57,10,0,99,0,7,19,11,27,11,8,201,91,14,20,12,book9
0,6,3,0,5,56,0,35,46,6,20,1,234,41,1,7,4,14,7,0,57,3,48,45,10,11,99,0,29,0,29,245,9,15,3,12,31,11,26,182,7,1,55,139,2,0,3,4,8,5,51,0,5,3,3,1,2,164,20,27,9,2,40,72,2,2,157,7,8,3,12,15,13,7,152,75,16,25,11,book10
0,3,31,0,6,51,0,41,30,5,10,0,72,39,0,5,3,72,17,0,106,2,51,20,17,30,168,0,29,0,38,299,17,20,0,31,23,19,21,271,4,6,52,33,15,4,13,7,11,9,75,6,5,27,53,17,12,137,16,18,23,3,28,46,21,129,131,2,4,5,4,14,12,11,185,66,18,42,36,book11
0,2,27,28,8,45,0,52,37,8,16,0,19,37,4,5,2,50,7,0,98,7,43,30,6,5,141,2,62,0,95,390,5,16,1,47,14,18,17,272,0,2,61,57,6,6,9,3,19,19,72,6,0,38,31,38,13,145,19,16,30,3,52,46,18,4,153,0,8,5,9,19,15,2,180,85,3,32,67,book12
16,3,10,1,13,27,0,17,18,6,11,6,167,25,0,72,1,135,14,0,114,2,14,23,1,9,95,4,22,0,25,71,12,3,0,18,17,2,7,176,3,1,10,97,17,9,5,0,17,9,40,0,11,16,3,9,5,44,13,4,4,1,14,17,0,23,539,0,0,3,6,5,7,21,223,26,15,9,9,book13
6,0,40,8,30,38,0,44,30,8,15,4,68,38,1,16,2,67,20,8,189,3,37,35,17,28,155,4,126,0,161,279,20,10,8,43,12,2,11,356,9,5,22,74,15,12,4,4,45,27,134,0,12,76,23,27,18,72,17,9,12,2,31,15,14,65,127,0,3,7,4,6,11,6,201,54,11,23,53,book14
1,0,3,16,8,12,0,9,1,1,4,0,3,18,0,48,1,1,7,0,97,1,20,12,0,3,31,1,47,0,15,65,2,6,4,3,14,1,3,37,1,6,6,27,12,3,0,0,17,0,30,0,4,24,5,7,7,6,1,3,1,1,8,8,4,2,49,0,0,0,5,0,3,1,31,4,1,2,10,book15
2,0,1,2,1,11,0,11,6,3,10,2,8,44,0,22,2,10,4,0,72,13,3,11,4,5,11,3,37,0,30,32,2,3,0,14,11,3,8,21,5,0,12,33,7,7,0,0,5,0,52,1,4,28,2,1,0,29,3,3,0,0,9,20,6,4,123,0,1,2,1,0,4,0,56,10,3,6,10,book16
0,0,0,1,0,7,0,10,7,6,3,0,0,40,0,2,0,2,7,0,0,0,10,5,0,0,0,0,1,0,1,117,9,2,0,0,15,2,0,0,0,1,9,5,23,0,2,1,0,1,21,0,0,0,0,3,0,12,4,2,0,1,8,0,0,0,13,0,1,1,5,0,2,1,54,12,4,3,4,book17
0,31,0,0,2,14,0,2,41,0,3,3,0,37,0,2,59,10,4,1,121,4,71,44,11,18,0,0,0,0,0,7,0,52,0,19,35,25,88,27,3,1,88,56,5,0,1,30,2,8,8,0,0,1,0,0,2,34,10,35,7,11,1,9,21,0,11,0,24,11,4,19,11,1,35,3,3,30,8,book18
