word,value,year
aaron,0,1990
almighty,6,1990
altar,12,1990
babylon,1,1990
burnt,7,1990
came,86,1990
christ,0,1990
city,37,1990
come,79,1990
commanded,12,1990
daughter,76,1990
daughters,23,1990
david,0,1990
day,74,1990
declares,1,1990
descendant,26,1990
doe,4,1990
father,211,1990
given,20,1990
goat,13,1990
god,227,1990
grain,26,1990
ha,89,1990
hand,46,1990
hear,2,1990
heart,8,1990
israel,36,1990
jeremiah,0,1990
jerusalem,0,1990
jesus,0,1990
judah,26,1990
king,49,1990
kingdom,2,1990
know,31,1990
lamb,7,1990
land,137,1990
let,66,1990
life,34,1990
like,32,1990
lord,196,1990
love,6,1990
male,23,1990
man,96,1990
men,62,1990
month,7,1990
moses,0,1990
mother,18,1990
mouth,12,1990
offering,11,1990
old,37,1990
people,45,1990
pharaoh,72,1990
praise,3,1990
priest,5,1990
prophet,1,1990
reign,1,1990
sacrifice,3,1990
said,401,1990
saw,64,1990
say,38,1990
says,3,1990
seen,9,1990
sent,39,1990
servant,61,1990
sin,8,1990
solomon,0,1990
son,268,1990
sovereign,2,1990
speak,10,1990
spirit,4,1990
taken,17,1990
tell,24,1990
thing,19,1990
tribe,2,1990
wa,320,1990
went,89,1990
wife,108,1990
word,13,1990
year,72,1990
aaron,110,1991
almighty,1,1991
altar,63,1991
babylon,0,1991
burnt,17,1991
came,31,1991
christ,0,1991
city,3,1991
come,54,1991
commanded,48,1991
daughter,14,1991
daughters,5,1991
david,0,1991
day,93,1991
declares,1,1991
descendant,5,1991
doe,13,1991
father,11,1991
given,11,1991
goat,9,1991
god,132,1991
grain,5,1991
ha,53,1991
hand,77,1991
hear,6,1991
heart,27,1991
israel,51,1991
jeremiah,0,1991
jerusalem,0,1991
jesus,0,1991
judah,4,1991
king,14,1991
kingdom,1,1991
know,34,1991
lamb,9,1991
land,59,1991
let,63,1991
life,7,1991
like,46,1991
lord,404,1991
love,6,1991
male,9,1991
man,34,1991
men,28,1991
month,16,1991
moses,295,1991
mother,5,1991
mouth,3,1991
offering,53,1991
old,5,1991
people,167,1991
pharaoh,91,1991
praise,2,1991
priest,13,1991
prophet,1,1991
reign,1,1991
sacrifice,23,1991
said,190,1991
saw,25,1991
say,30,1991
says,13,1991
seen,13,1991
sent,15,1991
servant,12,1991
sin,16,1991
solomon,0,1991
son,79,1991
sovereign,2,1991
speak,16,1991
spirit,2,1991
taken,2,1991
tell,22,1991
thing,6,1991
tribe,7,1991
wa,107,1991
went,45,1991
wife,11,1991
word,12,1991
year,19,1991
aaron,64,1992
almighty,0,1992
altar,88,1992
babylon,0,1992
burnt,59,1992
came,7,1992
christ,0,1992
city,4,1992
come,31,1992
commanded,24,1992
daughter,18,1992
daughters,3,1992
david,0,1992
day,84,1992
declares,0,1992
descendant,6,1992
doe,29,1992
father,14,1992
given,9,1992
goat,24,1992
god,53,1992
grain,39,1992
ha,127,1992
hand,29,1992
hear,0,1992
heart,3,1992
israel,5,1992
jeremiah,0,1992
jerusalem,0,1992
jesus,0,1992
judah,0,1992
king,0,1992
kingdom,0,1992
know,2,1992
lamb,18,1992
land,58,1992
let,3,1992
life,11,1992
like,7,1992
lord,297,1992
love,2,1992
male,21,1992
man,68,1992
men,0,1992
month,11,1992
moses,80,1992
mother,12,1992
mouth,0,1992
offering,295,1992
old,7,1992
people,41,1992
pharaoh,0,1992
praise,1,1992
priest,165,1992
prophet,0,1992
reign,0,1992
sacrifice,28,1992
said,49,1992
saw,1,1992
say,26,1992
says,0,1992
seen,2,1992
sent,1,1992
servant,0,1992
sin,95,1992
solomon,0,1992
son,51,1992
sovereign,0,1992
speak,12,1992
spirit,0,1992
taken,6,1992
tell,3,1992
thing,13,1992
tribe,0,1992
wa,21,1992
went,2,1992
wife,11,1992
word,0,1992
year,47,1992
aaron,93,1993
almighty,2,1993
altar,27,1993
babylon,0,1993
burnt,50,1993
came,39,1993
christ,0,1993
city,20,1993
come,65,1993
commanded,29,1993
daughter,14,1993
daughters,3,1993
david,0,1993
day,76,1993
declares,1,1993
descendant,45,1993
doe,9,1993
father,15,1993
given,15,1993
goat,45,1993
god,34,1993
grain,60,1993
ha,69,1993
hand,14,1993
hear,2,1993
heart,1,1993
israel,56,1993
jeremiah,0,1993
jerusalem,0,1993
jesus,0,1993
judah,13,1993
king,17,1993
kingdom,3,1993
know,6,1993
lamb,52,1993
land,85,1993
let,18,1993
life,1,1993
like,23,1993
lord,345,1993
love,2,1993
male,95,1993
man,50,1993
men,65,1993
month,27,1993
moses,229,1993
mother,1,1993
mouth,8,1993
offering,281,1993
