"Holy orders","day","ha","must","made","given","done","doe","without","become","priest"
"Jerusalem","men","year","old","became","two","jerusalem","reigned","israel","years.","hundred"
"God the Father","lord","god","father","israel,","lord,","you.","you,","god,","would","heart"
"Passion of Jesus","go","said,","u","let","take","""i","back","seven","jesus","shall"
"Offerings","lord,","offering","me,","go","burnt","like","sin","male","grain","lord."
"Seven deadly sins","men","may","man","put","them,","eat","took","know","it.","you,"
"Kings","made","hand","went","him,","took","put","king","right","david","you,"
"The Jews","him.","like","u","israel","called","let","wa","god","heard","saw"
"Wife of Solomon","father","son","daughter","land","tribe","descendant","wife","wa","said","house"
"The Promised Land","him,","said","take","moses,","jesus","lord","me,","make","land","them,"
"Moses","lord,","man","place","come","make","him,","brother","brought","ha","declares"
"Passover","must","one","offering","burnt","him,","two","another","grain","lamb","young"
"Hezekiah","land","king","came","judah","israel","sent","brought","babylon","city","judah,"
"Sodom and Gomorrah","says:","lord","word","land","god,","sovereign","offering","almighty","say","commanded"
"Fasting","like","give","one","make","among","may","you.","take","put","become"
"The Prophecy","according","set","every","""i","silver","hundred","descendant","covenant","gold","clan"
"Ark of the Covenant","father","wa","jesus","cubit","david","became","time","came","name","city"
"Cain and Abel","went","day","came","moses","tent","set","gave","word","first","three"
"Citation jewish scripture","them.","them,","let","every","name","people","among","israelite","city","saw"
"The Golden Calf","come","people","moses","lord.","brought","israel","bring","land","priest","made"
