topic,value,year
topic0,18,1000
topic1,12,1000
topic2,35,1000
topic3,6,1000
topic4,8,1000
topic5,8,1000
topic6,12,1000
topic7,16,1000
topic8,81,1000
topic9,46,1000
topic10,20,1000
topic11,5,1000
topic12,32,1000
topic13,33,1000
topic14,2,1000
topic15,5,1000
topic16,23,1000
topic17,15,1000
topic18,11,1000
topic19,31,1000
topic0,11,1001
topic1,15,1001
topic2,52,1001
topic3,12,1001
topic4,16,1001
topic5,4,1001
topic6,8,1001
topic7,26,1001
topic8,22,1001
topic9,51,1001
topic10,12,1001
topic11,4,1001
topic12,21,1001
topic13,51,1001
topic14,2,1001
topic15,24,1001
topic16,3,1001
topic17,47,1001
topic18,19,1001
topic19,70,1001
topic0,14,1002
topic1,2,1002
topic2,85,1002
topic3,0,1002
topic4,32,1002
topic5,1,1002
topic6,3,1002
topic7,25,1002
topic8,15,1002
topic9,71,1002
topic10,8,1002
topic11,32,1002
topic12,10,1002
topic13,106,1002
topic14,1,1002
topic15,5,1002
topic16,2,1002
topic17,42,1002
topic18,18,1002
topic19,77,1002
topic0,13,1003
topic1,15,1003
topic2,32,1003
topic3,3,1003
topic4,73,1003
topic5,8,1003
topic6,2,1003
topic7,16,1003
topic8,23,1003
topic9,43,1003
topic10,13,1003
topic11,71,1003
topic12,21,1003
topic13,105,1003
topic14,2,1003
topic15,26,1003
topic16,5,1003
topic17,67,1003
topic18,9,1003
topic19,98,1003
topic0,8,1004
topic1,17,1004
topic2,34,1004
topic3,5,1004
topic4,11,1004
topic5,4,1004
topic6,5,1004
topic7,37,1004
topic8,20,1004
topic9,26,1004
topic10,7,1004
topic11,7,1004
topic12,27,1004
topic13,22,1004
topic14,2,1004
topic15,6,1004
topic16,8,1004
topic17,6,1004
topic18,14,1004
topic19,37,1004
topic0,11,1005
topic1,19,1005
topic2,22,1005
topic3,4,1005
topic4,5,1005
topic5,3,1005
topic6,4,1005
topic7,27,1005
topic8,16,1005
topic9,23,1005
topic10,2,1005
topic11,16,1005
topic12,37,1005
topic13,24,1005
topic14,15,1005
topic15,18,1005
topic16,11,1005
topic17,21,1005
